# timestamp x y z qx qy qz qw
# vloam_depth_vo.m -- V-LOAM depth-anchored VO, scala metrica da LiDAR (non arbitraria come monovslam_test.m)
# 3438/3467 passi con >=1 corrispondenza a profondita' nota; il resto porta avanti la scala per inerzia (eq. 4 sola, epipolare)
1785426662.503766 -0.193115 0.007261 0.063160 0.006852402 0.020603024 0.016579340 0.999626773
1785426662.603766 -0.193116 0.007261 0.063161 0.006842911 0.020635027 0.016633421 0.999625280
1785426662.703766 -0.193114 0.007261 0.063195 0.006842606 0.020615853 0.016649760 0.999625405
1785426662.803766 -0.193114 0.007261 0.063195 0.009439613 0.019560052 0.014719349 0.999655760
1785426662.903766 -0.193114 0.007261 0.063195 0.011632143 0.019732190 0.012164385 0.999663624
1785426663.003766 -0.193114 0.007261 0.063195 0.014654825 0.019980414 0.009363629 0.999649109
1785426663.103766 -0.193119 0.007260 0.063202 0.014652396 0.019967977 0.009382724 0.999649214
1785426663.203766 -0.193119 0.007261 0.063203 0.014721444 0.019948417 0.009411351 0.999648321
1785426663.303766 -0.198047 0.016606 0.069633 0.014674229 0.019944939 0.009366865 0.999649503
1785426663.403766 -0.198047 0.016606 0.069633 0.014682649 0.019924926 0.009374510 0.999649707
1785426663.503766 -0.198047 0.016606 0.069633 -0.008554157 0.019295377 -0.050527573 0.998499614
1785426663.603766 -0.198047 0.016606 0.069633 0.028511697 0.019487956 0.052138707 0.998042513
1785426663.703766 -0.198041 0.016608 0.069645 0.028541940 0.019561507 0.051951552 0.998049969
1785426663.803766 -0.196699 0.017731 0.068152 0.028553718 0.019541817 0.051997859 0.998047607
1785426663.903766 -0.196790 0.017708 0.068379 0.028541807 0.019541994 0.051977464 0.998049006
1785426664.003766 -0.196822 0.017683 0.068479 0.028545894 0.019538660 0.051967401 0.998049479
1785426664.103766 -0.196822 0.017683 0.068479 0.028543081 0.019568889 0.051930820 0.998050871
1785426664.203766 -0.196822 0.017683 0.068482 0.028558144 0.019584586 0.051915214 0.998050944
1785426664.303766 -0.196832 0.017677 0.068662 0.028550517 0.019597495 0.051904854 0.998051448
1785426664.403766 -0.196834 0.017683 0.068753 0.028563113 0.019650803 0.051832031 0.998053824
1785426664.503766 -0.196887 0.017649 0.068953 0.028555414 0.019649581 0.051827041 0.998054327
1785426664.603766 -0.196853 0.017687 0.069192 0.028577450 0.019663087 0.051787572 0.998055479
1785426664.703766 -0.196853 0.017686 0.069193 0.028582299 0.019664493 0.051789265 0.998055225
1785426664.803766 -0.196847 0.017643 0.069318 0.028579828 0.019673742 0.051771492 0.998056035
1785426664.903766 -0.196783 0.017601 0.069649 0.028582221 0.019667488 0.051785147 0.998055382
