frame_idx,video_epoch,cloud_ordinal,cloud_delta_s,n_points_exported
165,1785426653.103766,46,-0.00459742546081543,2003
168,1785426653.2037659,47,0.09792685508728027,2003
171,1785426653.303766,47,-0.0020732879638671875,2003
174,1785426653.403766,48,0.09975028038024902,2042
177,1785426653.503766,48,-0.0002498626708984375,2042
180,1785426653.603766,48,-0.1002497673034668,2042
183,1785426653.7037659,49,0.001422882080078125,2022
186,1785426653.803766,50,0.09571647644042969,2013
189,1785426653.903766,50,-0.004283428192138672,2013
192,1785426654.003766,51,0.1015925407409668,2060
195,1785426654.103766,51,0.0015926361083984375,2060
198,1785426654.2037659,51,-0.09840726852416992,2060
201,1785426654.303766,52,0.0004177093505859375,2071
204,1785426654.403766,52,-0.09958219528198242,2071
207,1785426654.503766,53,0.001600027084350586,2085
210,1785426654.603766,53,-0.09839987754821777,2085
213,1785426654.7037659,54,0.0007863044738769531,2107
216,1785426654.803766,54,-0.09921383857727051,2107
219,1785426654.903766,55,0.0014421939849853516,2107
222,1785426655.003766,55,-0.09855794906616211,2107
225,1785426655.103766,56,-0.0002224445343017578,2117
228,1785426655.2037659,56,-0.10022234916687012,2117
231,1785426655.303766,57,0.001443624496459961,2025
234,1785426655.403766,58,0.09563946723937988,2044
237,1785426655.503766,58,-0.004360675811767578,2044
240,1785426655.603766,59,0.09790635108947754,2074
243,1785426655.7037659,59,-0.0020935535430908203,2074
246,1785426655.803766,60,0.10080385208129883,2074
249,1785426655.903766,60,0.0008039474487304688,2074
252,1785426656.003766,60,-0.09919619560241699,2074
255,1785426656.103766,61,0.0015070438385009766,2074
258,1785426656.2037659,62,0.09649276733398438,2058
261,1785426656.303766,62,-0.003507375717163086,2058
264,1785426656.403766,63,0.09872889518737793,2075
267,1785426656.503766,63,-0.0012712478637695312,2075
270,1785426656.603766,63,-0.10127115249633789,2075
273,1785426656.7037659,64,0.0014772415161132812,2068
276,1785426656.803766,65,0.09516072273254395,2015
279,1785426656.903766,65,-0.004839181900024414,2015
282,1785426657.003766,66,0.09685730934143066,2015
285,1785426657.103766,66,-0.0031425952911376953,2015
288,1785426657.2037659,67,0.09867429733276367,2065
291,1785426657.303766,67,-0.001325845718383789,2065
294,1785426657.403766,67,-0.10132575035095215,2065
297,1785426657.503766,68,0.0016646385192871094,2059
300,1785426657.603766,68,-0.09833526611328125,2059
303,1785426657.7037659,69,-0.0011279582977294922,2068
306,1785426657.803766,69,-0.10112810134887695,2068
309,1785426657.903766,70,0.0015263557434082031,2118
312,1785426658.003766,70,-0.09847378730773926,2118
315,1785426658.103766,71,-0.0013556480407714844,2067
318,1785426658.2037659,72,0.10111880302429199,2067
321,1785426658.303766,72,0.0011186599731445312,2067
324,1785426658.403766,72,-0.09888124465942383,2067
327,1785426658.503766,73,-2.384185791015625e-07,2042
