sample_idx,zed_file,posetum_delta_s,cloud_delta_s,n_orb_total,n_with_depth,n_without_depth,coverage_pct
66,right_000660.png,-0.708696842193604,0.0848491191864014,6804,524,6280,7.70135214579659
67,right_000670.png,-0.526555061340332,0.0764603614807129,4297,412,3885,9.58808471026297
68,right_000680.png,0.294717073440552,0.0964257717132568,4632,483,4149,10.4274611398964
69,right_000690.png,0.84625244140625,0.0457525253295898,5809,393,5416,6.76536409020485
70,right_000700.png,-1.09946918487549,-0.0997767448425293,5693,403,5290,7.0788687862287
71,right_000710.png,0.248925924301147,0.0533373355865479,6627,495,6132,7.46944318696243
72,right_000720.png,-1.12862133979797,0.0681986808776855,4292,416,3876,9.69245107176142
73,right_000730.png,0.0890140533447266,0.0890140533447266,5632,411,5221,7.29758522727273
74,right_000740.png,-0.326373338699341,0.0785751342773438,5528,340,5188,6.15050651230101
75,right_000750.png,-0.100762844085693,0.0965030193328857,4576,389,4187,8.50087412587413
76,right_000760.png,-0.116115808486938,0.0836360454559326,1850,225,1625,12.1621621621622
77,right_000770.png,-0.131085157394409,0.0696189403533936,180,14,166,7.77777777777778
78,right_000780.png,0.286280870437622,0.0848264694213867,2831,237,2594,8.37160014129283
79,right_000790.png,-2.12459874153137,0.0719242095947266,3482,120,3362,3.44629523262493
80,right_000800.png,-6.10559868812561,0.0911991596221924,2670,50,2620,1.87265917602996
81,right_000810.png,-10.1205987930298,-0.394438982009888,4175,0,4175,0
82,right_000820.png,-14.1005988121033,0.0993485450744629,3005,9,2996,0.299500831946755
83,right_000830.png,-18.1145987510681,0.0794639587402344,3895,6,3889,0.154043645699615
84,right_000840.png,-22.128598690033,0.0676195621490479,1973,6,1967,0.304105423213381
85,right_000850.png,-26.1085987091064,0.0884218215942383,780,0,780,0
86,right_000860.png,-30.1235988140106,0.0750179290771484,745,10,735,1.34228187919463
87,right_000870.png,-34.1035988330841,0.0964224338531494,1441,8,1433,0.555170020818876
88,right_000880.png,-38.1185986995697,0.0784046649932861,1320,56,1264,4.24242424242424
89,right_000890.png,-42.0995986461639,0.0957174301147461,1726,142,1584,8.22711471610661
90,right_000900.png,-46.112598657608,0.0840342044830322,2260,9,2251,0.398230088495575
91,right_000910.png,-50.1265988349915,0.0705311298370361,2376,26,2350,1.09427609427609
92,right_000920.png,-54.1075987815857,0.0920114517211914,2806,8,2798,0.285103349964362
93,right_000930.png,-58.1545987129211,0.0458846092224121,2783,6,2777,0.215594681997844
94,right_000940.png,-62.101598739624,0.0969815254211426,1652,1,1651,0.0605326876513317
95,right_000950.png,-66.1155986785889,0.0857453346252441,1455,8,1447,0.549828178694158
96,right_000960.png,-70.1295986175537,0.0492935180664062,1227,7,1220,0.570497147514262
97,right_000970.png,-74.1105988025665,0.086148738861084,4250,9,4241,0.211764705882353
98,right_000980.png,-78.1245987415314,0.0738532543182373,4537,0,4537,0
