sample_idx,zed_file,zed_epoch,posetum_row_idx,posetum_epoch,posetum_delta_s,cloud_ordinal,cloud_delta_s,n_points_exported
32,right_000320.png,1785426775.637766,35,1785426774.9052181,-0.7325477600097656,659,0.06737065315246582,2399
33,right_000330.png,1785426779.618766,37,1785426779.7055786,0.08681249618530273,679,0.08681249618530273,2165
34,right_000340.png,1785426783.665766,39,1785426784.1030931,0.43732714653015137,699,0.03879356384277344,2280
35,right_000350.png,1785426787.612766,41,1785426788.2996397,0.6868736743927002,719,0.08791875839233398,2275
36,right_000360.png,1785426791.660766,42,1785426790.704815,-0.9559509754180908,739,0.042325496673583984,2316
37,right_000370.png,1785426795.608766,43,1785426795.3006046,-0.30816149711608887,759,0.09630346298217773,2405
38,right_000380.png,1785426799.623766,47,1785426799.9000874,0.2763214111328125,779,0.08136677742004395,2372
39,right_000390.png,1785426803.635766,48,1785426804.705282,1.0695159435272217,799,0.06378030776977539,2673
40,right_000400.png,1785426807.649766,49,1785426806.705235,-0.9445309638977051,819,0.05487513542175293,2727
41,right_000410.png,1785426811.630766,52,1785426812.3010576,0.6702916622161865,839,0.07443737983703613,2526
42,right_000420.png,1785426815.610766,54,1785426815.9055583,0.29479241371154785,859,0.09222221374511719,2693
43,right_000430.png,1785426819.625766,56,1785426819.5031197,-0.12264633178710938,879,0.07936525344848633,2324
44,right_000440.png,1785426823.607766,58,1785426823.100777,-0.5069890022277832,899,0.09131336212158203,2694
45,right_000450.png,1785426827.619766,61,1785426827.9021397,0.28237366676330566,919,0.08164715766906738,2632
46,right_000460.png,1785426831.6677659,63,1785426831.3052814,-0.3624844551086426,939,0.03357958793640137,2407
47,right_000470.png,1785426835.614766,65,1785426835.1055408,-0.5092251300811768,959,0.08989500999450684,2573
48,right_000480.png,1785426839.628766,68,1785426839.5043523,-0.12441372871398926,979,0.07655835151672363,1431
49,right_000490.png,1785426843.642766,70,1785426843.102092,-0.5406739711761475,999,0.05605363845825195,2410
50,right_000500.png,1785426847.623766,73,1785426848.1030245,0.47925853729248047,1019,0.07619905471801758,2066
51,right_000510.png,1785426851.603766,74,1785426850.7052293,-0.8985366821289062,1039,0.09778475761413574,2697
52,right_000520.png,1785426855.617766,75,1785426855.7030969,0.08533096313476562,1059,0.08533096313476562,2967
53,right_000530.png,1785426859.632766,77,1785426859.5019598,-0.13080620765686035,1079,0.07049822807312012,2103
54,right_000540.png,1785426863.613766,79,1785426862.9043217,-0.7094442844390869,1099,0.09155702590942383,2725
