x,y,z,t_mean_c,t_std_c,n_obs,material,solar_absorptance,u_value_w_m2k,plausible,flag_reason,solar_term_w_m2,u_value_corrected_w_m2k,correction_note
14.9,-0.7000000000000001,0.1,35.301,0.406,93,paint,0.6,6.1461,1,,52.98,-1.5327,nord_diffuse_only
14.9,-0.7000000000000001,0.30000000000000004,35.677,0.535,77,paint,0.6,6.582,1,,52.98,-1.0967,nord_diffuse_only
14.9,-0.7000000000000001,0.5,36.087,0.659,67,paint,0.6,7.0574,1,,52.98,-0.6214,nord_diffuse_only
14.9,-0.7000000000000001,0.7000000000000001,36.496,0.664,79,paint,0.6,7.5316,1,,52.98,-0.1472,nord_diffuse_only
14.9,-0.7000000000000001,0.9,36.457,0.741,93,paint,0.6,7.4864,1,,52.98,-0.1924,nord_diffuse_only
14.9,-0.7000000000000001,1.1,36.302,0.772,57,paint,0.6,7.3067,1,,52.98,-0.3721,nord_diffuse_only
14.9,-0.7000000000000001,1.3,36.425,0.489,23,paint,0.6,7.4493,1,,52.98,-0.2295,nord_diffuse_only
14.9,-0.7000000000000001,1.5,36.333,0.505,11,paint,0.6,7.3426,1,,52.98,-0.3362,nord_diffuse_only
14.9,-0.7000000000000001,1.9000000000000001,36.002,1.272,18,paint,0.6,6.9588,1,,52.98,-0.7199,nord_diffuse_only
14.9,-0.5,-0.30000000000000004,35.215,0.335,59,concrete,0.65,6.0464,1,,0.0,6.0464,
14.9,-0.5,1.9000000000000001,34.899,1.021,37,paint,0.6,5.68,1,,0.0,5.68,
14.9,-0.30000000000000004,-0.30000000000000004,35.351,0.646,69,concrete,0.65,6.2041,1,,0.0,6.2041,
14.9,-0.30000000000000004,1.9000000000000001,34.68,0.708,35,paint,0.6,5.4261,1,,0.0,5.4261,
14.9,-0.1,-0.30000000000000004,35.778,0.869,109,concrete,0.65,6.6991,1,,0.0,6.6991,
14.9,-0.1,1.9000000000000001,34.957,0.584,36,paint,0.6,5.7472,1,,0.0,5.7472,
14.9,0.1,-0.30000000000000004,35.985,1.136,112,concrete,0.65,6.9391,1,,0.0,6.9391,
14.9,0.1,1.9000000000000001,35.133,0.67,35,paint,0.6,5.9513,1,,0.0,5.9513,
14.9,0.30000000000000004,-0.30000000000000004,36.016,1.165,105,concrete,0.65,6.9751,1,,0.0,6.9751,
14.9,0.30000000000000004,1.9000000000000001,35.147,0.647,34,paint,0.6,5.9675,1,,0.0,5.9675,
14.9,0.5,-0.30000000000000004,36.581,0.958,114,concrete,0.65,7.6301,1,,0.0,7.6301,
14.9,0.5,1.9000000000000001,35.266,0.702,36,paint,0.6,6.1055,1,,0.0,6.1055,
14.9,0.7000000000000001,-0.30000000000000004,36.627,0.769,89,concrete,0.65,7.6835,1,,0.0,7.6835,
14.9,0.7000000000000001,1.9000000000000001,35.238,0.76,36,paint,0.6,6.073,1,,0.0,6.073,
14.9,0.9,-0.30000000000000004,36.547,0.671,117,concrete,0.65,7.5907,1,,0.0,7.5907,
14.9,0.9,1.9000000000000001,35.152,0.712,35,paint,0.6,5.9733,1,,0.0,5.9733,
14.9,1.1,-0.30000000000000004,35.877,1.015,111,concrete,0.65,6.8139,1,,0.0,6.8139,
14.9,1.1,1.9000000000000001,35.138,0.681,37,paint,0.6,5.9571,1,,0.0,5.9571,
14.9,1.3,-0.30000000000000004,34.793,0.685,132,concrete,0.65,5.5571,1,,0.0,5.5571,
14.9,1.3,1.9000000000000001,34.969,0.713,34,paint,0.6,5.7612,1,,0.0,5.7612,
14.9,1.5,-0.30000000000000004,34.705,0.685,110,concrete,0.65,5.4551,1,,0.0,5.4551,sud_opaque_no_correction
14.9,1.5,1.9000000000000001,34.681,0.598,32,paint,0.6,5.4272,1,,0.0,5.4272,sud_opaque_no_correction
14.9,1.7000000000000002,-0.30000000000000004,34.908,0.697,92,concrete,0.65,5.6904,1,,0.0,5.6904,sud_opaque_no_correction
14.9,1.7000000000000002,1.9000000000000001,34.931,0.606,37,paint,0.6,5.7171,1,,0.0,5.7171,sud_opaque_no_correction
15.100000000000001,-0.7000000000000001,-0.30000000000000004,35.182,0.254,124,concrete,0.65,6.0081,1,,57.4,-2.3105,nord_diffuse_only
15.100000000000001,-0.7000000000000001,-0.1,35.162,0.28,119,concrete,0.65,5.9849,1,,57.4,-2.3337,nord_diffuse_only
15.100000000000001,-0.7000000000000001,0.1,35.269,0.415,66,paint,0.6,6.109,1,,52.98,-1.5698,nord_diffuse_only
15.100000000000001,-0.7000000000000001,0.30000000000000004,35.811,0.523,46,paint,0.6,6.7374,1,,52.98,-0.9414,nord_diffuse_only
15.100000000000001,-0.7000000000000001,0.5,36.152,0.703,52,paint,0.6,7.1328,1,,52.98,-0.546,nord_diffuse_only
15.100000000000001,-0.7000000000000001,0.7000000000000001,36.497,0.699,62,paint,0.6,7.5328,1,,52.98,-0.146,nord_diffuse_only
15.100000000000001,-0.7000000000000001,0.9,36.536,0.703,61,paint,0.6,7.578,1,,52.98,-0.1008,nord_diffuse_only
15.100000000000001,-0.7000000000000001,1.1,36.374,0.773,32,paint,0.6,7.3901,1,,52.98,-0.2886,nord_diffuse_only
15.100000000000001,-0.7000000000000001,1.3,36.39,0.625,17,paint,0.6,7.4087,1,,52.98,-0.2701,nord_diffuse_only
15.100000000000001,-0.7000000000000001,1.5,36.43,0.499,7,cardboard,0.75,7.4551,1,,66.23,-2.1434,nord_diffuse_only
15.100000000000001,-0.7000000000000001,1.7000000000000002,35.674,0.027,2,paint,0.6,6.5786,1,,52.98,-1.1002,nord_diffuse_only
15.100000000000001,-0.7000000000000001,1.9000000000000001,35.715,0.971,19,paint,0.6,6.6261,1,,52.98,-1.0527,nord_diffuse_only
15.100000000000001,-0.5,-0.30000000000000004,35.197,0.282,91,concrete,0.65,6.0255,1,,0.0,6.0255,
15.100000000000001,-0.5,1.9000000000000001,34.948,0.885,35,paint,0.6,5.7368,1,,0.0,5.7368,
15.100000000000001,-0.30000000000000004,-0.30000000000000004,35.298,0.424,81,concrete,0.65,6.1426,1,,0.0,6.1426,
15.100000000000001,-0.30000000000000004,1.9000000000000001,35.134,0.804,33,paint,0.6,5.9525,1,,0.0,5.9525,
15.100000000000001,-0.1,-0.30000000000000004,35.349,0.961,68,concrete,0.65,6.2017,1,,0.0,6.2017,
15.100000000000001,-0.1,1.9000000000000001,35.204,0.727,37,paint,0.6,6.0336,1,,0.0,6.0336,
15.100000000000001,0.1,-0.30000000000000004,35.521,1.14,73,concrete,0.65,6.4012,1,,0.0,6.4012,
15.100000000000001,0.1,1.9000000000000001,35.343,0.78,43,paint,0.6,6.1948,1,,0.0,6.1948,
15.100000000000001,0.30000000000000004,-0.30000000000000004,36.161,1.138,86,concrete,0.65,7.1432,1,,0.0,7.1432,
15.100000000000001,0.30000000000000004,1.9000000000000001,35.48,0.838,37,paint,0.6,6.3536,1,,0.0,6.3536,
15.100000000000001,0.5,-0.30000000000000004,36.622,0.94,100,concrete,0.65,7.6777,1,,0.0,7.6777,
15.100000000000001,0.5,1.9000000000000001,35.533,0.83,35,paint,0.6,6.4151,1,,0.0,6.4151,
15.100000000000001,0.7000000000000001,-0.30000000000000004,36.6,0.875,117,concrete,0.65,7.6522,1,,0.0,7.6522,
15.100000000000001,0.7000000000000001,1.9000000000000001,35.508,0.826,29,paint,0.6,6.3861,1,,0.0,6.3861,
15.100000000000001,0.9,-0.30000000000000004,36.551,0.629,99,concrete,0.65,7.5954,1,,0.0,7.5954,
15.100000000000001,0.9,1.9000000000000001,35.447,0.843,28,paint,0.6,6.3154,1,,0.0,6.3154,
15.100000000000001,1.1,-0.30000000000000004,36.13,0.756,103,concrete,0.65,7.1072,1,,0.0,7.1072,
15.100000000000001,1.1,1.9000000000000001,35.292,0.805,36,paint,0.6,6.1357,1,,0.0,6.1357,
15.100000000000001,1.3,-0.30000000000000004,35.421,0.727,103,concrete,0.65,6.2852,1,,0.0,6.2852,
15.100000000000001,1.3,1.9000000000000001,35.094,0.788,42,paint,0.6,5.9061,1,,0.0,5.9061,
15.100000000000001,1.5,-0.30000000000000004,35.118,0.585,91,concrete,0.65,5.9339,1,,0.0,5.9339,sud_opaque_no_correction
15.100000000000001,1.5,1.9000000000000001,34.747,0.633,37,paint,0.6,5.5038,1,,0.0,5.5038,sud_opaque_no_correction
15.100000000000001,1.7000000000000002,-0.30000000000000004,34.842,0.791,99,concrete,0.65,5.6139,1,,0.0,5.6139,sud_opaque_no_correction
15.100000000000001,1.7000000000000002,1.9000000000000001,34.811,0.622,31,paint,0.6,5.578,1,,0.0,5.578,sud_opaque_no_correction
15.3,-0.7000000000000001,-0.30000000000000004,35.181,0.284,168,concrete,0.65,6.007,1,,57.4,-2.3117,nord_diffuse_only
15.3,-0.7000000000000001,-0.1,35.167,0.305,171,concrete,0.65,5.9907,1,,57.4,-2.3279,nord_diffuse_only
15.3,-0.7000000000000001,0.1,35.308,0.431,101,paint,0.6,6.1542,1,,52.98,-1.5246,nord_diffuse_only
15.3,-0.7000000000000001,0.30000000000000004,35.685,0.575,90,paint,0.6,6.5913,1,,52.98,-1.0875,nord_diffuse_only
15.3,-0.7000000000000001,0.5,36.187,0.657,80,paint,0.6,7.1733,1,,52.98,-0.5054,nord_diffuse_only
15.3,-0.7000000000000001,0.7000000000000001,36.471,0.729,80,paint,0.6,7.5026,1,,52.98,-0.1762,nord_diffuse_only
15.3,-0.7000000000000001,0.9,36.525,0.746,94,paint,0.6,7.5652,1,,52.98,-0.1135,nord_diffuse_only
15.3,-0.7000000000000001,1.1,36.368,0.738,68,paint,0.6,7.3832,1,,52.98,-0.2956,nord_diffuse_only
15.3,-0.7000000000000001,1.3,36.081,0.664,43,paint,0.6,7.0504,1,,52.98,-0.6283,nord_diffuse_only
15.3,-0.7000000000000001,1.5,36.221,0.447,18,paint,0.6,7.2128,1,,52.98,-0.466,nord_diffuse_only
15.3,-0.7000000000000001,1.7000000000000002,36.343,0.568,13,paint,0.6,7.3542,1,,52.98,-0.3246,nord_diffuse_only
15.3,-0.7000000000000001,1.9000000000000001,35.872,1.357,20,paint,0.6,6.8081,1,,52.98,-0.8706,nord_diffuse_only
15.3,-0.5,-0.30000000000000004,35.095,0.364,62,concrete,0.65,5.9072,1,,0.0,5.9072,
15.3,-0.5,1.9000000000000001,34.963,1.139,36,paint,0.6,5.7542,1,,0.0,5.7542,
15.3,-0.30000000000000004,-0.30000000000000004,35.17,0.694,85,concrete,0.65,5.9942,1,,0.0,5.9942,
15.3,-0.30000000000000004,1.9000000000000001,34.771,0.792,25,paint,0.6,5.5316,1,,0.0,5.5316,
15.3,-0.1,-0.30000000000000004,35.358,1.033,119,concrete,0.65,6.2122,1,,0.0,6.2122,
15.3,-0.1,1.9000000000000001,34.982,0.858,27,paint,0.6,5.7762,1,,0.0,5.7762,
15.3,0.1,-0.30000000000000004,35.946,1.182,76,concrete,0.65,6.8939,1,,0.0,6.8939,
15.3,0.1,1.9000000000000001,35.246,0.858,29,paint,0.6,6.0823,1,,0.0,6.0823,
15.3,0.30000000000000004,-0.30000000000000004,36.344,1.13,79,concrete,0.65,7.3554,1,,0.0,7.3554,
15.3,0.30000000000000004,1.9000000000000001,35.369,0.841,31,paint,0.6,6.2249,1,,0.0,6.2249,
15.3,0.5,-0.30000000000000004,36.652,1.038,79,concrete,0.65,7.7125,1,,0.0,7.7125,
15.3,0.5,1.9000000000000001,35.268,0.853,35,paint,0.6,6.1078,1,,0.0,6.1078,
15.3,0.7000000000000001,-0.30000000000000004,36.888,0.932,67,concrete,0.65,7.9861,1,,0.0,7.9861,
15.3,0.7000000000000001,1.9000000000000001,35.157,0.815,36,paint,0.6,5.9791,1,,0.0,5.9791,
15.3,0.9,-0.30000000000000004,36.724,0.649,71,concrete,0.65,7.7959,1,,0.0,7.7959,
15.3,0.9,1.9000000000000001,35.255,0.824,34,paint,0.6,6.0928,1,,0.0,6.0928,
15.3,1.1,-0.30000000000000004,36.168,0.692,94,concrete,0.65,7.1513,1,,0.0,7.1513,
15.3,1.1,1.9000000000000001,35.188,0.719,23,paint,0.6,6.0151,1,,0.0,6.0151,
15.3,1.3,-0.30000000000000004,35.451,0.893,133,concrete,0.65,6.32,1,,0.0,6.32,
15.3,1.3,1.9000000000000001,35.275,0.678,17,paint,0.6,6.1159,1,,0.0,6.1159,
15.3,1.5,-0.30000000000000004,34.979,0.697,123,concrete,0.65,5.7728,1,,0.0,5.7728,sud_opaque_no_correction
15.3,1.5,1.9000000000000001,34.862,0.683,19,paint,0.6,5.6371,1,,0.0,5.6371,sud_opaque_no_correction
15.3,1.7000000000000002,-0.30000000000000004,34.942,0.852,174,concrete,0.65,5.7299,1,,0.0,5.7299,sud_opaque_no_correction
15.3,1.7000000000000002,1.9000000000000001,34.826,0.562,20,paint,0.6,5.5954,1,,0.0,5.5954,sud_opaque_no_correction
15.5,-0.9,1.7000000000000002,35.619,0.0,1,paint,0.6,6.5148,1,,52.98,-1.164,nord_diffuse_only
15.5,-0.7000000000000001,-0.30000000000000004,35.162,0.267,170,concrete,0.65,5.9849,1,,57.4,-2.3337,nord_diffuse_only
15.5,-0.7000000000000001,-0.1,35.147,0.334,165,concrete,0.65,5.9675,1,,57.4,-2.3511,nord_diffuse_only
15.5,-0.7000000000000001,0.1,35.22,0.469,102,paint,0.6,6.0522,1,,52.98,-1.6266,nord_diffuse_only
15.5,-0.7000000000000001,0.30000000000000004,35.695,0.579,89,paint,0.6,6.6029,1,,52.98,-1.0759,nord_diffuse_only
15.5,-0.7000000000000001,0.5,36.016,0.738,79,paint,0.6,6.9751,1,,52.98,-0.7037,nord_diffuse_only
15.5,-0.7000000000000001,0.7000000000000001,36.487,0.695,88,paint,0.6,7.5212,1,,52.98,-0.1576,nord_diffuse_only
15.5,-0.7000000000000001,0.9,36.415,0.785,80,paint,0.6,7.4377,1,,52.98,-0.2411,nord_diffuse_only
15.5,-0.7000000000000001,1.1,36.331,0.753,64,paint,0.6,7.3403,1,,52.98,-0.3385,nord_diffuse_only
15.5,-0.7000000000000001,1.3,36.305,0.653,35,glass,0.1,7.3101,1,,8.83,6.0304,nord_diffuse_only
15.5,-0.7000000000000001,1.5,36.422,0.716,16,paint,0.6,7.4458,1,,52.98,-0.233,nord_diffuse_only
15.5,-0.7000000000000001,1.7000000000000002,36.209,0.793,7,paint,0.6,7.1988,1,,52.98,-0.4799,nord_diffuse_only
15.5,-0.7000000000000001,1.9000000000000001,34.971,0.493,17,paint,0.6,5.7635,1,,52.98,-1.9153,nord_diffuse_only
15.5,-0.5,-0.30000000000000004,35.159,0.324,122,concrete,0.65,5.9814,1,,0.0,5.9814,
15.5,-0.5,1.9000000000000001,34.635,0.559,20,paint,0.6,5.3739,1,,0.0,5.3739,
15.5,-0.30000000000000004,-0.30000000000000004,35.202,0.544,140,concrete,0.65,6.0313,1,,0.0,6.0313,
15.5,-0.30000000000000004,1.9000000000000001,35.0,0.692,24,paint,0.6,5.7971,1,,0.0,5.7971,
15.5,-0.1,-0.30000000000000004,35.64,0.911,121,concrete,0.65,6.5391,1,,0.0,6.5391,
15.5,-0.1,1.9000000000000001,35.189,0.611,22,paint,0.6,6.0162,1,,0.0,6.0162,
15.5,0.1,-0.30000000000000004,36.127,1.088,162,concrete,0.65,7.1038,1,,0.0,7.1038,
15.5,0.1,1.9000000000000001,35.469,0.697,21,paint,0.6,6.3409,1,,0.0,6.3409,
15.5,0.30000000000000004,-0.30000000000000004,36.311,1.096,164,concrete,0.65,7.3171,1,,0.0,7.3171,
15.5,0.30000000000000004,1.9000000000000001,35.404,0.767,20,paint,0.6,6.2655,1,,0.0,6.2655,
15.5,0.5,-0.30000000000000004,36.422,0.918,157,concrete,0.65,7.4458,1,,0.0,7.4458,
15.5,0.5,1.9000000000000001,35.582,0.808,23,paint,0.6,6.4719,1,,0.0,6.4719,
15.5,0.7000000000000001,-0.30000000000000004,36.488,0.961,158,concrete,0.65,7.5223,1,,0.0,7.5223,
15.5,0.7000000000000001,1.9000000000000001,35.522,0.756,26,paint,0.6,6.4023,1,,0.0,6.4023,
15.5,0.9,-0.30000000000000004,36.558,0.672,191,concrete,0.65,7.6035,1,,0.0,7.6035,
15.5,0.9,1.9000000000000001,35.398,0.731,26,paint,0.6,6.2586,1,,0.0,6.2586,
15.5,1.1,-0.30000000000000004,36.181,0.84,185,concrete,0.65,7.1664,1,,0.0,7.1664,
15.5,1.1,1.9000000000000001,35.469,0.802,26,paint,0.6,6.3409,1,,0.0,6.3409,
15.5,1.3,-0.30000000000000004,35.481,1.038,207,concrete,0.65,6.3548,1,,0.0,6.3548,
15.5,1.3,1.9000000000000001,35.37,0.892,24,paint,0.6,6.2261,1,,0.0,6.2261,
15.5,1.5,-0.30000000000000004,34.849,0.761,220,concrete,0.65,5.622,1,,0.0,5.622,sud_opaque_no_correction
15.5,1.5,1.9000000000000001,34.947,0.693,29,paint,0.6,5.7357,1,,0.0,5.7357,sud_opaque_no_correction
15.5,1.7000000000000002,-0.30000000000000004,34.896,0.809,197,concrete,0.65,5.6765,1,,0.0,5.6765,sud_opaque_no_correction
15.5,1.7000000000000002,1.9000000000000001,34.837,0.619,29,paint,0.6,5.6081,1,,0.0,5.6081,sud_opaque_no_correction
15.700000000000001,-0.7000000000000001,-0.30000000000000004,35.153,0.295,163,concrete,0.65,5.9745,1,,57.4,-2.3442,nord_diffuse_only
15.700000000000001,-0.7000000000000001,-0.1,35.206,0.335,201,concrete,0.65,6.0359,1,,57.4,-2.2827,nord_diffuse_only
15.700000000000001,-0.7000000000000001,0.1,35.323,0.51,111,paint,0.6,6.1716,1,,52.98,-1.5072,nord_diffuse_only
15.700000000000001,-0.7000000000000001,0.30000000000000004,35.694,0.616,92,paint,0.6,6.6017,1,,52.98,-1.077,nord_diffuse_only
15.700000000000001,-0.7000000000000001,0.5,36.205,0.698,84,paint,0.6,7.1942,1,,52.98,-0.4846,nord_diffuse_only
15.700000000000001,-0.7000000000000001,0.7000000000000001,36.418,0.802,107,glass,0.1,7.4412,1,,8.83,6.1614,nord_diffuse_only
15.700000000000001,-0.7000000000000001,0.9,36.577,0.75,108,glass,0.1,7.6255,1,,8.83,6.3457,nord_diffuse_only
15.700000000000001,-0.7000000000000001,1.1,36.352,0.761,59,paint,0.6,7.3646,1,,52.98,-0.3141,nord_diffuse_only
15.700000000000001,-0.7000000000000001,1.3,36.266,0.717,53,glass,0.1,7.2649,1,,8.83,5.9851,nord_diffuse_only
15.700000000000001,-0.7000000000000001,1.5,36.152,0.541,28,glass,0.1,7.1328,1,,8.83,5.853,nord_diffuse_only
15.700000000000001,-0.7000000000000001,1.7000000000000002,36.071,0.46,23,paint,0.6,7.0388,1,,52.98,-0.6399,nord_diffuse_only
15.700000000000001,-0.7000000000000001,1.9000000000000001,35.523,0.901,32,paint,0.6,6.4035,1,,52.98,-1.2753,nord_diffuse_only
15.700000000000001,-0.5,-0.30000000000000004,35.133,0.356,99,concrete,0.65,5.9513,1,,0.0,5.9513,
15.700000000000001,-0.5,1.9000000000000001,34.916,0.732,38,paint,0.6,5.6997,1,,0.0,5.6997,
15.700000000000001,-0.30000000000000004,-0.30000000000000004,35.248,0.804,152,concrete,0.65,6.0846,1,,0.0,6.0846,
15.700000000000001,-0.30000000000000004,1.9000000000000001,35.183,0.918,38,paint,0.6,6.0093,1,,0.0,6.0093,
15.700000000000001,-0.1,-0.30000000000000004,35.332,1.079,187,concrete,0.65,6.182,1,,0.0,6.182,
15.700000000000001,-0.1,1.9000000000000001,35.356,0.918,39,paint,0.6,6.2099,1,,0.0,6.2099,
15.700000000000001,0.1,-0.30000000000000004,35.591,1.129,198,concrete,0.65,6.4823,1,,0.0,6.4823,
15.700000000000001,0.1,1.9000000000000001,35.576,1.085,35,paint,0.6,6.4649,1,,0.0,6.4649,
15.700000000000001,0.30000000000000004,-0.30000000000000004,35.895,1.089,209,concrete,0.65,6.8348,1,,0.0,6.8348,
15.700000000000001,0.30000000000000004,1.9000000000000001,35.702,1.103,37,paint,0.6,6.611,1,,0.0,6.611,
15.700000000000001,0.5,-0.30000000000000004,36.216,1.017,213,concrete,0.65,7.207,1,,0.0,7.207,
15.700000000000001,0.5,1.9000000000000001,35.686,0.959,31,paint,0.6,6.5925,1,,0.0,6.5925,
15.700000000000001,0.7000000000000001,-0.30000000000000004,36.45,1.023,317,concrete,0.65,7.4783,1,,0.0,7.4783,
15.700000000000001,0.7000000000000001,1.9000000000000001,35.781,1.097,30,paint,0.6,6.7026,1,,0.0,6.7026,
15.700000000000001,0.9,-0.30000000000000004,36.383,0.782,275,concrete,0.65,7.4006,1,,0.0,7.4006,
15.700000000000001,0.9,1.9000000000000001,35.709,0.996,30,paint,0.6,6.6191,1,,0.0,6.6191,
15.700000000000001,1.1,-0.30000000000000004,35.966,1.017,292,concrete,0.65,6.9171,1,,0.0,6.9171,
15.700000000000001,1.1,1.9000000000000001,35.632,0.778,34,paint,0.6,6.5299,1,,0.0,6.5299,
15.700000000000001,1.3,-0.30000000000000004,35.424,1.102,212,concrete,0.65,6.2887,1,,0.0,6.2887,
15.700000000000001,1.3,1.9000000000000001,35.449,0.813,41,paint,0.6,6.3177,1,,0.0,6.3177,
15.700000000000001,1.5,-0.30000000000000004,34.922,0.832,223,concrete,0.65,5.7067,1,,0.0,5.7067,sud_opaque_no_correction
15.700000000000001,1.5,1.9000000000000001,35.061,0.768,42,paint,0.6,5.8678,1,,0.0,5.8678,sud_opaque_no_correction
15.700000000000001,1.7000000000000002,-0.30000000000000004,34.881,0.841,198,concrete,0.65,5.6591,1,,0.0,5.6591,sud_opaque_no_correction
15.700000000000001,1.7000000000000002,1.9000000000000001,34.915,0.673,45,paint,0.6,5.6986,1,,0.0,5.6986,sud_opaque_no_correction
15.9,-0.7000000000000001,-0.30000000000000004,35.16,0.306,151,concrete,0.65,5.9826,1,,57.4,-2.3361,nord_diffuse_only
15.9,-0.7000000000000001,-0.1,35.177,0.372,190,concrete,0.65,6.0023,1,,57.4,-2.3163,nord_diffuse_only
15.9,-0.7000000000000001,0.1,35.21,0.538,109,paint,0.6,6.0406,1,,52.98,-1.6382,nord_diffuse_only
15.9,-0.7000000000000001,0.30000000000000004,35.689,0.622,92,glass,0.1,6.5959,1,,8.83,5.3161,nord_diffuse_only
15.9,-0.7000000000000001,0.5,36.097,0.752,82,glass,0.1,7.069,1,,8.83,5.7892,nord_diffuse_only
15.9,-0.7000000000000001,0.7000000000000001,36.322,0.789,82,glass,0.1,7.3299,1,,8.83,6.0501,nord_diffuse_only
15.9,-0.7000000000000001,0.9,36.413,0.811,104,glass,0.1,7.4354,1,,8.83,6.1556,nord_diffuse_only
15.9,-0.7000000000000001,1.1,36.404,0.818,72,paint,0.6,7.4249,1,,52.98,-0.2538,nord_diffuse_only
15.9,-0.7000000000000001,1.3,36.179,0.729,39,glass,0.1,7.1641,1,,8.83,5.8843,nord_diffuse_only
15.9,-0.7000000000000001,1.5,36.369,0.561,34,glass,0.1,7.3843,1,,8.83,6.1046,nord_diffuse_only
15.9,-0.7000000000000001,1.7000000000000002,36.528,0.854,16,paint,0.6,7.5687,1,,52.98,-0.1101,nord_diffuse_only
15.9,-0.7000000000000001,1.9000000000000001,35.752,1.051,26,paint,0.6,6.669,1,,52.98,-1.0098,nord_diffuse_only
15.9,-0.5,-0.30000000000000004,35.091,0.353,149,concrete,0.65,5.9026,1,,0.0,5.9026,
15.9,-0.5,1.9000000000000001,35.054,0.675,28,paint,0.6,5.8597,1,,0.0,5.8597,
15.9,-0.30000000000000004,-0.30000000000000004,35.199,0.759,158,concrete,0.65,6.0278,1,,0.0,6.0278,
15.9,-0.30000000000000004,1.9000000000000001,35.136,0.748,33,paint,0.6,5.9548,1,,0.0,5.9548,
15.9,-0.1,-0.30000000000000004,35.622,0.907,126,concrete,0.65,6.5183,1,,0.0,6.5183,
15.9,-0.1,1.9000000000000001,35.198,0.752,35,paint,0.6,6.0267,1,,0.0,6.0267,
15.9,0.1,-0.30000000000000004,35.775,1.107,166,concrete,0.65,6.6957,1,,0.0,6.6957,
15.9,0.1,1.9000000000000001,35.395,0.756,38,paint,0.6,6.2551,1,,0.0,6.2551,
15.9,0.30000000000000004,-0.30000000000000004,36.13,1.187,160,concrete,0.65,7.1072,1,,0.0,7.1072,
15.9,0.30000000000000004,1.9000000000000001,35.394,0.855,43,paint,0.6,6.2539,1,,0.0,6.2539,
15.9,0.5,-0.30000000000000004,36.391,0.999,160,concrete,0.65,7.4099,1,,0.0,7.4099,
15.9,0.5,1.9000000000000001,35.452,1.033,44,paint,0.6,6.3212,1,,0.0,6.3212,
15.9,0.7000000000000001,-0.30000000000000004,36.415,1.182,138,concrete,0.65,7.4377,1,,0.0,7.4377,
15.9,0.7000000000000001,1.9000000000000001,35.461,1.033,45,paint,0.6,6.3316,1,,0.0,6.3316,
15.9,0.9,-0.30000000000000004,36.632,0.764,158,concrete,0.65,7.6893,1,,0.0,7.6893,
15.9,0.9,1.9000000000000001,35.306,1.011,42,paint,0.6,6.1519,1,,0.0,6.1519,
15.9,1.1,-0.30000000000000004,36.417,0.851,158,concrete,0.65,7.44,1,,0.0,7.44,
15.9,1.1,1.9000000000000001,35.155,1.003,39,paint,0.6,5.9768,1,,0.0,5.9768,
15.9,1.3,-0.30000000000000004,35.966,1.169,156,concrete,0.65,6.9171,1,,0.0,6.9171,
15.9,1.3,1.9000000000000001,35.025,0.805,36,paint,0.6,5.8261,1,,0.0,5.8261,
15.9,1.5,-0.30000000000000004,35.055,0.799,154,concrete,0.65,5.8609,1,,0.0,5.8609,sud_opaque_no_correction
15.9,1.5,1.9000000000000001,34.552,0.628,33,paint,0.6,5.2777,1,,0.0,5.2777,sud_opaque_no_correction
15.9,1.7000000000000002,-0.30000000000000004,35.107,0.667,140,concrete,0.65,5.9212,1,,0.0,5.9212,sud_opaque_no_correction
15.9,1.7000000000000002,1.9000000000000001,34.554,0.566,31,paint,0.6,5.28,1,,0.0,5.28,sud_opaque_no_correction
16.1,-0.7000000000000001,-0.30000000000000004,35.15,0.326,170,concrete,0.65,5.971,1,,57.4,-2.3476,nord_diffuse_only
16.1,-0.7000000000000001,-0.1,35.149,0.376,204,concrete,0.65,5.9699,1,,57.4,-2.3488,nord_diffuse_only
16.1,-0.7000000000000001,0.1,35.293,0.558,101,glass,0.1,6.1368,1,,8.83,4.857,nord_diffuse_only
16.1,-0.7000000000000001,0.30000000000000004,35.649,0.697,104,glass,0.1,6.5496,1,,8.83,5.2698,nord_diffuse_only
16.1,-0.7000000000000001,0.5,36.081,0.82,77,glass,0.1,7.0504,1,,8.83,5.7706,nord_diffuse_only
16.1,-0.7000000000000001,0.7000000000000001,36.46,0.758,99,glass,0.1,7.4899,1,,8.83,6.2101,nord_diffuse_only
16.1,-0.7000000000000001,0.9,36.545,0.851,98,glass,0.1,7.5884,1,,8.83,6.3086,nord_diffuse_only
16.1,-0.7000000000000001,1.1,36.245,0.757,74,glass,0.1,7.2406,1,,8.83,5.9608,nord_diffuse_only
16.1,-0.7000000000000001,1.3,36.269,0.779,37,glass,0.1,7.2684,1,,8.83,5.9886,nord_diffuse_only
16.1,-0.7000000000000001,1.5,36.122,0.648,38,glass,0.1,7.098,1,,8.83,5.8182,nord_diffuse_only
16.1,-0.7000000000000001,1.7000000000000002,36.065,0.757,49,paint,0.6,7.0319,1,,52.98,-0.6469,nord_diffuse_only
16.1,-0.7000000000000001,1.9000000000000001,35.635,1.058,30,paint,0.6,6.5333,1,,52.98,-1.1454,nord_diffuse_only
16.1,-0.5,-0.30000000000000004,34.983,0.467,128,concrete,0.65,5.7774,1,,0.0,5.7774,
16.1,-0.5,1.9000000000000001,35.089,0.874,49,paint,0.6,5.9003,1,,0.0,5.9003,
