timestamp,solar_zenith_deg,solar_azimuth_deg,aoi_deg,ghi_w_m2,dni_w_m2,dhi_w_m2,poa_global_w_m2,poa_direct_w_m2,poa_diffuse_w_m2,iam,poa_effective_w_m2
2026-07-30 13:25:00+02:00,26.99582410503703,183.18762646554796,94.57131892173807,853.3333333333334,755.1232104362834,180.48864235572336,196.91098784452834,0.0,196.91098784452834,0.0,196.91098784452834
2026-07-30 13:30:00+02:00,27.065347826826432,185.79202443763927,93.40841884597435,854.0,757.3958144540096,179.54800021349777,196.52400010674887,0.0,196.52400010674887,0.0,196.52400010674887
2026-07-30 13:35:00+02:00,27.17443289456284,188.38194892102277,92.24389527760619,854.6666666666666,760.2349513750262,178.3462548936405,196.00646078015356,0.0,196.00646078015356,0.0,196.00646078015356
2026-07-30 13:40:00+02:00,27.322590909168717,190.95127394553464,91.07782665494652,855.3333333333334,763.6339783126225,176.89316829768546,195.3632508155094,0.0,195.3632508155094,0.0,195.3632508155094
2026-07-30 13:45:00+02:00,27.50917053334389,193.49422916411083,89.91028751415053,856.0,767.5844509144222,175.2010141979822,195.80237365248718,1.2018665534960753,194.6005070989911,0.009379417736925936,194.61177990746037
2026-07-30 13:50:00+02:00,27.73337075080248,196.00548172642888,88.74134997897086,856.6666666666666,772.0757576760928,173.28485817585096,210.68503969948546,16.959277278226672,193.7257624212588,0.12308213215118038,195.813146428406
2026-07-30 13:55:00+02:00,27.994256885614085,198.4802063380073,87.5710827334912,857.3333333333334,777.0946743639711,171.16289605042516,225.68131485894276,32.93320016706353,192.74811469187924,0.22267909301674343,200.08164983521982
2026-07-30 14:00:00+02:00,28.290777889106423,200.9141311891276,86.39955248941115,858.0,782.6248145752394,168.8568633053876,240.82595100996332,49.14751935726951,191.6784316526938,0.31013256065579164,206.92067768084388
2026-07-30 14:05:00+02:00,28.62178509530579,203.3035699690426,85.22682308974512,855.4166666666666,782.8041175683945,168.27050542096296,256.20050374151083,65.13816769769602,191.0623360438148,0.38709183508256,216.2767889118315
2026-07-30 14:10:00+02:00,28.986050973411125,205.64543241500368,84.05295617338673,852.8333333333334,783.5340534944511,167.44654869838516,271.508794988932,81.18135397307277,190.32744101585922,0.45495041348923376,227.26093157352454
